Country,Country Code,2022 Mobile cellular subscriptions,Cell Indicator Name,#_x,"Population
(2024)","Yearly
Change","Net
Change","Density
(P/Km²)","Land Area
(Km²)","Migrants
(net)","Fert.
Rate","Med.
Age","Urban
Pop %","World
Share",#_y,"GDP
(nominal, 2022)","GDP
(abbrev.)","GDP
growth","Population
(2022)","GDP
per capita","Share of
World GDP",Calculated Density (P/Km²)
Aruba,ABW,,Mobile cellular subscriptions,196.0,108066.0,0.12 %,127,600,180.0,141,1.6,41.0,44 %,0.00 %,,,,,,,,600.3666666666667
Africa Eastern and Southern,AFE,562145156.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,,Mobile cellular subscriptions,36.0,42647492.0,2.88 %,"1,192,731",65,652860.0,"-44,089",4.8,17.0,27 %,0.52 %,,,,,,,,65.32410011334743
Africa Western and Central,AFW,426795276.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Angola,AGO,23977537.0,Mobile cellular subscriptions,41.0,37885849.0,3.09 %,"1,135,943",30,1246700.0,"-2,629",5.0,17.0,68 %,0.46 %,66.0,"$106,714,000,000",$107 billion,3.05%,"35,635,029","$2,995",0.11%,30.388905911606642
Albania,ALB,2782226.0,Mobile cellular subscriptions,143.0,2791765.0,-0.71 %,"-19,890",102,27400.0,"-24,472",1.3,37.0,69 %,0.03 %,118.0,"$18,882,095,518",$18.88 billion,4.84%,"2,827,608","$6,678",0.02%,101.88923357664234
Andorra,AND,113521.0,Mobile cellular subscriptions,202.0,81938.0,1.34 %,"1,082",174,470.0,988,1.1,43.0,83 %,0.00 %,153.0,"$3,352,032,737",$3.35 billion,8.81%,"79,705","$42,055",0.00%,174.33617021276595
Arab World,ARB,430815131.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,20036039.0,Mobile cellular subscriptions,86.0,11027129.0,3.62 %,"385,048",132,83600.0,"278,439",1.2,32.0,82 %,0.14 %,28.0,"$507,535,000,000",$508 billion,7.41%,"10,242,086","$49,554",0.50%,131.90345693779904
Argentina,ARG,60236460.0,Mobile cellular subscriptions,35.0,45696159.0,0.35 %,"157,758",17,2736690.0,"3,454",1.5,33.0,95 %,0.56 %,22.0,"$632,770,000,000",$633 billion,5.24%,"45,407,904","$13,935",0.63%,16.69760148208237
Armenia,ARM,3760695.0,Mobile cellular subscriptions,140.0,2973840.0,1.03 %,"30,447",104,28470.0,"-29,966",1.7,36.0,63 %,0.04 %,115.0,"$19,502,783,988",$19.50 billion,12.60%,"2,880,874","$6,770",0.02%,104.45521601685985
American Samoa,ASM,,Mobile cellular subscriptions,209.0,46765.0,-1.59 %,-756,234,200.0,"-1,110",2.3,29.0,N.A.,0.00 %,,,,,,,,233.825
Antigua and Barbuda,ATG,,Mobile cellular subscriptions,199.0,93772.0,0.49 %,456,213,440.0,9,1.6,36.0,28 %,0.00 %,162.0,"$1,757,603,704",$1.76 billion,8.46%,"92,840","$18,932",0.00%,213.11818181818182
Australia,AUS,28018000.0,Mobile cellular subscriptions,55.0,26713205.0,0.99 %,"262,081",3,7682300.0,"138,510",1.6,38.0,86 %,0.33 %,12.0,"$1,675,420,000,000",$1.675 trillion,3.62%,"26,200,984","$63,945",1.67%,3.477240539942465
Austria,AUT,11034599.0,Mobile cellular subscriptions,99.0,9120813.0,-0.11 %,"-9,616",111,82409.0,"8,813",1.3,43.0,58 %,0.11 %,32.0,"$471,400,000,000",$471 billion,5.00%,"9,064,677","$52,004",0.47%,110.67738960550426
Azerbaijan,AZE,11068100.0,Mobile cellular subscriptions,94.0,10336577.0,0.18 %,"18,370",125,82658.0,"10,864",1.7,33.0,58 %,0.13 %,71.0,"$78,721,058,824",$78.72 billion,4.62%,"10,295,304","$7,646",0.08%,125.05234823005638
Burundi,BDI,7470966.0,Mobile cellular subscriptions,78.0,14047786.0,2.62 %,"358,336",547,25680.0,"-27,074",4.8,16.0,14 %,0.17 %,155.0,"$3,073,414,678",$3.07 billion,1.85%,"13,321,097",$231,0.00%,547.0321651090343
Belgium,BEL,11873986.0,Mobile cellular subscriptions,83.0,11738763.0,0.22 %,"25,870",388,30280.0,"36,243",1.4,42.0,99 %,0.14 %,25.0,"$578,604,000,000",$579 billion,3.25%,"11,641,820","$49,700",0.58%,387.67381109643327
Benin,BEN,14549987.0,Mobile cellular subscriptions,76.0,14462724.0,2.49 %,"351,690",128,112760.0,"-7,725",4.5,18.0,47 %,0.18 %,122.0,"$17,401,746,309",$17.40 billion,6.25%,"13,759,501","$1,265",0.02%,128.26112096488117
Burkina Faso,BFA,,Mobile cellular subscriptions,59.0,23548781.0,2.27 %,"523,005",86,273600.0,"-25,807",4.1,17.0,33 %,0.29 %,117.0,"$18,884,619,613",$18.88 billion,1.48%,"22,509,038",$839,0.02%,86.07010599415204
Bangladesh,BGD,180198049.0,Mobile cellular subscriptions,8.0,173562364.0,1.22 %,"2,095,374","1,333",130170.0,"-473,362",2.1,26.0,42 %,2.13 %,34.0,"$460,201,000,000",$460 billion,7.10%,"169,384,897","$2,717",0.46%,1333.3514941998924
Bulgaria,BGR,7964361.0,Mobile cellular subscriptions,110.0,6757689.0,-0.56 %,"-38,114",62,108560.0,524,1.7,45.0,77 %,0.08 %,68.0,"$89,040,398,406",$89.04 billion,3.36%,"6,825,864","$13,045",0.09%,62.248424834193074
Bahrain,BHR,2141263.0,Mobile cellular subscriptions,153.0,1607049.0,2.38 %,"37,383","2,115",760.0,"22,699",1.8,33.0,N.A.,0.02 %,91.0,"$44,390,820,479",$44.39 billion,4.86%,"1,533,459","$28,948",0.04%,2114.5381578947367
"Bahamas, The",BHS,403993.0,Mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,3811931.0,Mobile cellular subscriptions,136.0,3164253.0,-0.65 %,"-20,820",62,51000.0,"-4,497",1.5,45.0,56 %,0.04 %,108.0,"$24,527,507,288",$24.53 billion,3.90%,"3,204,802","$7,653",0.02%,62.04417647058823
Belarus,BLR,11770639.0,Mobile cellular subscriptions,100.0,9056696.0,-0.65 %,"-58,984",45,202910.0,"-3,119",1.2,41.0,84 %,0.11 %,76.0,"$72,793,457,588",$72.79 billion,-4.70%,"9,173,237","$7,935",0.07%,44.63405450692425
Belize,BLZ,,Mobile cellular subscriptions,177.0,417072.0,1.45 %,"5,966",18,22810.0,490,2.0,26.0,48 %,0.01 %,156.0,"$2,824,081,836",$2.82 billion,12.13%,"402,733","$7,012",0.00%,18.284612012275318
Bermuda,BMU,,Mobile cellular subscriptions,205.0,64636.0,-0.10 %,-62,"1,293",50.0,-5,1.4,46.0,93 %,0.00 %,,,,,,,,1292.72
Bolivia,BOL,,Mobile cellular subscriptions,79.0,12413315.0,1.38 %,"169,156",11,1083300.0,"-3,000",2.5,25.0,70 %,0.15 %,93.0,"$43,068,885,673",$43.07 billion,3.07%,"12,077,154","$3,566",0.04%,11.458797193759809
