Country Name,Country Code,2022 Mobile cellular subscriptions,Cell Indicator Name
Aruba,ABW,,Mobile cellular subscriptions
Africa Eastern and Southern,AFE,562145156,Mobile cellular subscriptions
Afghanistan,AFG,,Mobile cellular subscriptions
Africa Western and Central,AFW,426795276,Mobile cellular subscriptions
Angola,AGO,23977537,Mobile cellular subscriptions
Albania,ALB,2782226,Mobile cellular subscriptions
Andorra,AND,113521,Mobile cellular subscriptions
Arab World,ARB,430815131,Mobile cellular subscriptions
United Arab Emirates,ARE,20036039,Mobile cellular subscriptions
Argentina,ARG,60236460,Mobile cellular subscriptions
Armenia,ARM,3760695,Mobile cellular subscriptions
American Samoa,ASM,,Mobile cellular subscriptions
Antigua and Barbuda,ATG,,Mobile cellular subscriptions
Australia,AUS,28018000,Mobile cellular subscriptions
Austria,AUT,11034599,Mobile cellular subscriptions
Azerbaijan,AZE,11068100,Mobile cellular subscriptions
Burundi,BDI,7470966,Mobile cellular subscriptions
Belgium,BEL,11873986,Mobile cellular subscriptions
Benin,BEN,14549987,Mobile cellular subscriptions
Burkina Faso,BFA,,Mobile cellular subscriptions
Bangladesh,BGD,180198049,Mobile cellular subscriptions
Bulgaria,BGR,7964361,Mobile cellular subscriptions
Bahrain,BHR,2141263,Mobile cellular subscriptions
"Bahamas, The",BHS,403993,Mobile cellular subscriptions
Bosnia and Herzegovina,BIH,3811931,Mobile cellular subscriptions
Belarus,BLR,11770639,Mobile cellular subscriptions
Belize,BLZ,,Mobile cellular subscriptions
Bermuda,BMU,,Mobile cellular subscriptions
Bolivia,BOL,,Mobile cellular subscriptions
Brazil,BRA,212925716,Mobile cellular subscriptions
Barbados,BRB,323482,Mobile cellular subscriptions
Brunei Darussalam,BRN,528723,Mobile cellular subscriptions
Bhutan,BTN,742493,Mobile cellular subscriptions
Botswana,BWA,4348010,Mobile cellular subscriptions
Central African Republic,CAF,,Mobile cellular subscriptions
Canada,CAN,35082123,Mobile cellular subscriptions
Central Europe and the Baltics,CEB,130269278,Mobile cellular subscriptions
Switzerland,CHE,10450200,Mobile cellular subscriptions
Channel Islands,CHI,,Mobile cellular subscriptions
Chile,CHL,26415114,Mobile cellular subscriptions
China,CHN,1780613000,Mobile cellular subscriptions
Cote d'Ivoire,CIV,49006419,Mobile cellular subscriptions
Cameroon,CMR,23106995,Mobile cellular subscriptions
"Congo, Dem. Rep.",COD,49844134,Mobile cellular subscriptions
"Congo, Rep.",COG,,Mobile cellular subscriptions
Colombia,COL,80812165,Mobile cellular subscriptions
Comoros,COM,838768,Mobile cellular subscriptions
Cabo Verde,CPV,588593,Mobile cellular subscriptions
Costa Rica,CRI,7876163,Mobile cellular subscriptions
Caribbean small states,CSS,,Mobile cellular subscriptions
Cuba,CUB,7600092,Mobile cellular subscriptions
Curacao,CUW,,Mobile cellular subscriptions
Cayman Islands,CYM,,Mobile cellular subscriptions
Cyprus,CYP,1392480,Mobile cellular subscriptions
Czechia,CZE,13475347,Mobile cellular subscriptions
Germany,DEU,104400000,Mobile cellular subscriptions
Djibouti,DJI,519258,Mobile cellular subscriptions
Dominica,DMA,,Mobile cellular subscriptions
Denmark,DNK,7443962,Mobile cellular subscriptions
Dominican Republic,DOM,10149890,Mobile cellular subscriptions
Algeria,DZA,49018766,Mobile cellular subscriptions
East Asia & Pacific (excluding high income),EAP,2659481463,Mobile cellular subscriptions
Early-demographic dividend,EAR,3173151571,Mobile cellular subscriptions
East Asia & Pacific,EAS,3041651846,Mobile cellular subscriptions
Europe & Central Asia (excluding high income),ECA,255742751,Mobile cellular subscriptions
Europe & Central Asia,ECS,1151388791,Mobile cellular subscriptions
Ecuador,ECU,17490751,Mobile cellular subscriptions
