Country Name,Country Code,2022 GDP,2023 GDP,GDP Indicator Name
Aruba,ABW,3544707788,,GDP (current US$)
Africa Eastern and Southern,AFE,1183962133999,1236163045000,GDP (current US$)
Afghanistan,AFG,14502158192,,GDP (current US$)
Africa Western and Central,AFW,877140805320,796586157553,GDP (current US$)
Angola,AGO,104399746853,84722957642,GDP (current US$)
Albania,ALB,18916378861,22977677861,GDP (current US$)
Andorra,AND,3380602043,3727673593,GDP (current US$)
Arab World,ARB,3613682354462,3491516939570,GDP (current US$)
United Arab Emirates,ARE,507063968278,504173451327,GDP (current US$)
Argentina,ARG,631133384440,640591410664,GDP (current US$)
Armenia,ARM,19513474648,24212134631,GDP (current US$)
American Samoa,ASM,871000000,,GDP (current US$)
Antigua and Barbuda,ATG,1867733333,2033085185,GDP (current US$)
Australia,AUS,1692956646856,1723827215335,GDP (current US$)
Austria,AUT,470941926751,516034144116,GDP (current US$)
Azerbaijan,AZE,78807470588,72356176471,GDP (current US$)
Burundi,BDI,3338722828,2642161669,GDP (current US$)
Belgium,BEL,583613982019,632216577075,GDP (current US$)
Benin,BEN,17425418044,19673284686,GDP (current US$)
Burkina Faso,BFA,18820219331,20324617839,GDP (current US$)
Bangladesh,BGD,460131688909,437415331041,GDP (current US$)
Bulgaria,BGR,90346169915,101584384673,GDP (current US$)
Bahrain,BHR,44383297872,43205000000,GDP (current US$)
"Bahamas, The",BHS,13136400000,14338500000,GDP (current US$)
Bosnia and Herzegovina,BIH,24534663636,27054889363,GDP (current US$)
Belarus,BLR,73775179925,71857382746,GDP (current US$)
Belize,BLZ,2830507576,3281500000,GDP (current US$)
Bermuda,BMU,7827980000,,GDP (current US$)
Bolivia,BOL,44008282880,45849832906,GDP (current US$)
Brazil,BRA,1951923942083,2173665655937,GDP (current US$)
Barbados,BRB,5840673700,6393564190,GDP (current US$)
Brunei Darussalam,BRN,16681536467,15128292954,GDP (current US$)
Bhutan,BTN,2898227713,,GDP (current US$)
Botswana,BWA,20321958850,19395765126,GDP (current US$)
Central African Republic,CAF,2382618615,2555492085,GDP (current US$)
Canada,CAN,2161483369422,2140085567791,GDP (current US$)
Central Europe and the Baltics,CEB,1943576044705,2252970882003,GDP (current US$)
Switzerland,CHE,818426550206,884940402230,GDP (current US$)
Channel Islands,CHI,11228317319,,GDP (current US$)
Chile,CHL,302116539409,335533331669,GDP (current US$)
China,CHN,17881783387001,17794781986105,GDP (current US$)
Cote d'Ivoire,CIV,70173140101,78788828907,GDP (current US$)
Cameroon,CMR,43644068311,47945510090,GDP (current US$)
"Congo, Dem. Rep.",COD,65801547620,66383287003,GDP (current US$)
"Congo, Rep.",COG,15817030157,15321055818,GDP (current US$)
Colombia,COL,345329875079,363540156235,GDP (current US$)
Comoros,COM,1242519408,1352380972,GDP (current US$)
Cabo Verde,CPV,2303738020,2587252076,GDP (current US$)
Costa Rica,CRI,69243626029,86497941439,GDP (current US$)
Caribbean small states,CSS,48138054139,53252637670,GDP (current US$)
Cuba,CUB,,,GDP (current US$)
Curacao,CUW,3073840325,,GDP (current US$)
Cayman Islands,CYM,6600844002,,GDP (current US$)
Cyprus,CYP,29250532020,32229622669,GDP (current US$)
Czechia,CZE,290565654836,330858339872,GDP (current US$)
Germany,DEU,4082469490798,4456081016706,GDP (current US$)
Djibouti,DJI,3674298479,4098530514,GDP (current US$)
Dominica,DMA,607159259.3,653992592.6,GDP (current US$)
Denmark,DNK,400167196949,404198757538,GDP (current US$)
Dominican Republic,DOM,113537368176,121444279314,GDP (current US$)
Algeria,DZA,225560256622,239899491128,GDP (current US$)
East Asia & Pacific (excluding high income),EAP,21113809331056,21150247849983,GDP (current US$)
Early-demographic dividend,EAR,14131148776107,14847823837515,GDP (current US$)
East Asia & Pacific,EAS,30663750183419,30775659199420,GDP (current US$)
Europe & Central Asia (excluding high income),ECA,1803038234535,2098349713814,GDP (current US$)
Europe & Central Asia,ECS,25389267749916,27240628835585,GDP (current US$)
Ecuador,ECU,116586079000,118844826000,GDP (current US$)
"Egypt, Arab Rep.",EGY,476747720365,395926075163,GDP (current US$)
Euro area,EMU,14224347000136,15544858680874,GDP (current US$)
Eritrea,ERI,,,GDP (current US$)
Spain,ESP,1417800466263,1580694712516,GDP (current US$)
Estonia,EST,37921480882,40744848828,GDP (current US$)
Ethiopia,ETH,126772703048,163697927594,GDP (current US$)
European Union,EUU,16761496590765,18349388450766,GDP (current US$)
Fragile and conflict affected situations,FCS,1950006457160,1906801170088,GDP (current US$)
Finland,FIN,281887430796,300187202696,GDP (current US$)
Fiji,FJI,4979979531,5494797541,GDP (current US$)
France,FRA,2779092236506,3030904089608,GDP (current US$)
Faroe Islands,FRO,3555929833,,GDP (current US$)
"Micronesia, Fed. Sts.",FSM,430000000,460000000,GDP (current US$)
Gabon,GAB,21071739228,20516134389,GDP (current US$)
United Kingdom,GBR,3088839763445,3340032380668,GDP (current US$)
Georgia,GEO,24984568960,30535530479,GDP (current US$)
Ghana,GHA,74263364042,76370394412,GDP (current US$)
Gibraltar,GIB,,,GDP (current US$)
Guinea,GIN,20999229260,23612295818,GDP (current US$)
"Gambia, The",GMB,2175099790,2339904157,GDP (current US$)
Guinea-Bissau,GNB,1714166526,1966461400,GDP (current US$)
Equatorial Guinea,GNQ,13486788879,12116922539,GDP (current US$)
Greece,GRC,217581324512,238206312633,GDP (current US$)
Grenada,GRD,1224577778,1320334236,GDP (current US$)
Greenland,GRL,,,GDP (current US$)
Guatemala,GTM,95003330316,102050473864,GDP (current US$)
Guam,GUM,6910000000,,GDP (current US$)
Guyana,GUY,14718388489,16786302158,GDP (current US$)
High income,HIC,64444446480057,67653743404264,GDP (current US$)
"Hong Kong SAR, China",HKG,358696261481,382054574299,GDP (current US$)
Honduras,HND,31426041807,34400509852,GDP (current US$)
Heavily indebted poor countries (HIPC),HPC,981675388899,1130472157493,GDP (current US$)
Croatia,HRV,71997070660,82688842717,GDP (current US$)
Haiti,HTI,20253551921,19850829758,GDP (current US$)
Hungary,HUN,177006128625,212388906459,GDP (current US$)
IBRD only,IBD,37733201523901,38733043068565,GDP (current US$)
IDA & IBRD total,IBT,40566997900554,41559721641425,GDP (current US$)
IDA total,IDA,2835003428054,2828041013610,GDP (current US$)
IDA blend,IDB,1183656384166,1044015231916,GDP (current US$)
Indonesia,IDN,1319076267310,1371171152331,GDP (current US$)
IDA only,IDX,1651361994354,1786070910237,GDP (current US$)
Isle of Man,IMN,,,GDP (current US$)
India,IND,3353470496886,3549918918778,GDP (current US$)
Not classified,INX,,,GDP (current US$)
Ireland,IRL,533140011838,545629450404,GDP (current US$)
"Iran, Islamic Rep.",IRN,413394567604,401504514719,GDP (current US$)
Iraq,IRQ,286640340966,250842782139,GDP (current US$)
Iceland,ISL,28701830402,31020032583,GDP (current US$)
Israel,ISR,525002447653,509901495702,GDP (current US$)
Italy,ITA,2066972096554,2254851212732,GDP (current US$)
Jamaica,JAM,17097760687,19423355367,GDP (current US$)
Jordan,JOR,48653381831,50813642349,GDP (current US$)
