Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,42239854
"Population, total",SP.POP.TOTL,Albania,ALB,2745972
"Population, total",SP.POP.TOTL,Algeria,DZA,45606480
"Population, total",SP.POP.TOTL,American Samoa,ASM,43914
"Population, total",SP.POP.TOTL,Andorra,AND,80088
"Population, total",SP.POP.TOTL,Angola,AGO,36684202
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,94298
"Population, total",SP.POP.TOTL,Argentina,ARG,46654581
"Population, total",SP.POP.TOTL,Armenia,ARM,2777970
"Population, total",SP.POP.TOTL,Aruba,ABW,106277
"Population, total",SP.POP.TOTL,Australia,AUS,26638544
"Population, total",SP.POP.TOTL,Austria,AUT,9132383
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,10112555
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,412623
"Population, total",SP.POP.TOTL,Bahrain,BHR,1485509
"Population, total",SP.POP.TOTL,Bangladesh,BGD,172954319
"Population, total",SP.POP.TOTL,Barbados,BRB,281995
"Population, total",SP.POP.TOTL,Belarus,BLR,9178298
"Population, total",SP.POP.TOTL,Belgium,BEL,11822592
"Population, total",SP.POP.TOTL,Belize,BLZ,410825
"Population, total",SP.POP.TOTL,Benin,BEN,13712828
"Population, total",SP.POP.TOTL,Bermuda,BMU,63489
"Population, total",SP.POP.TOTL,Bhutan,BTN,787424
"Population, total",SP.POP.TOTL,Bolivia,BOL,12388571
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3210847
"Population, total",SP.POP.TOTL,Botswana,BWA,2675352
"Population, total",SP.POP.TOTL,Brazil,BRA,216422446
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,31538
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,452524
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6430370
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,23251485
"Population, total",SP.POP.TOTL,Burundi,BDI,13238559
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,598682
"Population, total",SP.POP.TOTL,Cambodia,KHM,16944826
"Population, total",SP.POP.TOTL,Cameroon,CMR,28647293
"Population, total",SP.POP.TOTL,Canada,CAN,40097761
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,69310
"Population, total",SP.POP.TOTL,Central African Republic,CAF,5742315
