Country Name,Country Code,2023 Population,Pop Indicator Name
Afghanistan,AFG,42239854,"Population, total"
Albania,ALB,2745972,"Population, total"
Algeria,DZA,45606480,"Population, total"
American Samoa,ASM,43914,"Population, total"
Andorra,AND,80088,"Population, total"
Angola,AGO,36684202,"Population, total"
Antigua and Barbuda,ATG,94298,"Population, total"
Argentina,ARG,46654581,"Population, total"
Armenia,ARM,2777970,"Population, total"
Aruba,ABW,106277,"Population, total"
Australia,AUS,26638544,"Population, total"
Austria,AUT,9132383,"Population, total"
Azerbaijan,AZE,10112555,"Population, total"
"Bahamas, The",BHS,412623,"Population, total"
Bahrain,BHR,1485509,"Population, total"
Bangladesh,BGD,172954319,"Population, total"
Barbados,BRB,281995,"Population, total"
Belarus,BLR,9178298,"Population, total"
Belgium,BEL,11822592,"Population, total"
Belize,BLZ,410825,"Population, total"
Benin,BEN,13712828,"Population, total"
Bermuda,BMU,63489,"Population, total"
Bhutan,BTN,787424,"Population, total"
Bolivia,BOL,12388571,"Population, total"
Bosnia and Herzegovina,BIH,3210847,"Population, total"
Botswana,BWA,2675352,"Population, total"
Brazil,BRA,216422446,"Population, total"
British Virgin Islands,VGB,31538,"Population, total"
Brunei Darussalam,BRN,452524,"Population, total"
Bulgaria,BGR,6430370,"Population, total"
Burkina Faso,BFA,23251485,"Population, total"
Burundi,BDI,13238559,"Population, total"
Cabo Verde,CPV,598682,"Population, total"
Cambodia,KHM,16944826,"Population, total"
Cameroon,CMR,28647293,"Population, total"
Canada,CAN,40097761,"Population, total"
Cayman Islands,CYM,69310,"Population, total"
Central African Republic,CAF,5742315,"Population, total"
Chad,TCD,18278568,"Population, total"
Channel Islands,CHI,175346,"Population, total"
Chile,CHL,19629590,"Population, total"
China,CHN,1410710000,"Population, total"
Colombia,COL,52085168,"Population, total"
Comoros,COM,852075,"Population, total"
"Congo, Dem. Rep.",COD,102262808,"Population, total"
"Congo, Rep.",COG,6106869,"Population, total"
Costa Rica,CRI,5212173,"Population, total"
Cote d'Ivoire,CIV,28873034,"Population, total"
Croatia,HRV,3853200,"Population, total"
Cuba,CUB,11194449,"Population, total"
Curacao,CUW,147862,"Population, total"
Cyprus,CYP,1260138,"Population, total"
Czechia,CZE,10873689,"Population, total"
Denmark,DNK,5946952,"Population, total"
Djibouti,DJI,1136455,"Population, total"
Dominica,DMA,73040,"Population, total"
Dominican Republic,DOM,11332972,"Population, total"
Ecuador,ECU,18190484,"Population, total"
"Egypt, Arab Rep.",EGY,112716598,"Population, total"
El Salvador,SLV,6364943,"Population, total"
Equatorial Guinea,GNQ,1714671,"Population, total"
Eritrea,ERI,3748901,"Population, total"
Estonia,EST,1366188,"Population, total"
Eswatini,SWZ,1210822,"Population, total"
Ethiopia,ETH,126527060,"Population, total"
Faroe Islands,FRO,53270,"Population, total"
Fiji,FJI,936375,"Population, total"
Finland,FIN,5584264,"Population, total"
France,FRA,68170228,"Population, total"
French Polynesia,PYF,308872,"Population, total"
Gabon,GAB,2436566,"Population, total"
"Gambia, The",GMB,2773168,"Population, total"
Georgia,GEO,3760365,"Population, total"
Germany,DEU,84482267,"Population, total"
Ghana,GHA,34121985,"Population, total"
Gibraltar,GIB,32688,"Population, total"
Greece,GRC,10361295,"Population, total"
Greenland,GRL,56865,"Population, total"
Grenada,GRD,126183,"Population, total"
Guam,GUM,172952,"Population, total"
Guatemala,GTM,17602431,"Population, total"
Guinea,GIN,14190612,"Population, total"
Guinea-Bissau,GNB,2150842,"Population, total"
Guyana,GUY,813834,"Population, total"
Haiti,HTI,11724763,"Population, total"
Honduras,HND,10593798,"Population, total"
"Hong Kong SAR, China",HKG,7536100,"Population, total"
Hungary,HUN,9589872,"Population, total"
Iceland,ISL,393600,"Population, total"
India,IND,1428627663,"Population, total"
Indonesia,IDN,277534122,"Population, total"
"Iran, Islamic Rep.",IRN,89172767,"Population, total"
Iraq,IRQ,45504560,"Population, total"
Ireland,IRL,5262382,"Population, total"
Isle of Man,IMN,84710,"Population, total"
Israel,ISR,9756700,"Population, total"
Italy,ITA,58761146,"Population, total"
Jamaica,JAM,2825544,"Population, total"
Japan,JPN,124516650,"Population, total"
Jordan,JOR,11337052,"Population, total"
Kazakhstan,KAZ,19900177,"Population, total"
Kenya,KEN,55100586,"Population, total"
